id,area,aspects,solidities,extents,perimeters,eccentricities,labels
222,9908.0,1.67796610169,0.944293534007,0.188476098081,758.891477585,1.0,2
223,9255.5,1.55801104972,0.934474219451,0.181331060695,732.790970206,1.0,2
224,8762.0,1.32584269663,0.91936413704,0.208579318225,652.950349212,0.99,2
225,9146.0,1.54285714286,0.943810939128,0.193566137566,703.234619498,1.0,2
226,10325.0,1.59162303665,0.931691022093,0.177821025076,788.004173875,1.0,2
227,8722.0,1.47457627119,0.919266432133,0.188800138537,686.891474247,1.0,2
228,9696.0,1.49479166667,0.921497805346,0.175958188153,754.832600355,1.0,2
229,10040.0,1.60752688172,0.923600561855,0.180530082353,771.518891692,1.0,2
230,8826.0,1.5730994152,0.940436857321,0.191873736386,696.749339938,1.0,2
231,9241.0,1.5,0.922531686907,0.185988004669,717.376755714,1.0,2
232,9413.5,1.47252747253,0.920545658903,0.192994505495,711.477261424,1.0,2
233,10731.5,1.64646464646,0.91593051751,0.166256119477,836.045804381,1.0,2
234,11156.5,1.63316582915,0.932233123608,0.17250096637,834.8742311,1.0,2
235,10905.0,1.61421319797,0.936936154851,0.17407336462,818.631590605,1.0,2
236,11444.0,1.61764705882,0.932263443996,0.169994058229,849.602152705,1.0,2
237,10510.5,1.60621761658,0.931286541456,0.175672739428,798.732095361,1.0,2
238,8460.0,1.35714285714,0.955122766524,0.220864661654,615.778776169,1.0,2
239,9371.5,1.48087431694,0.921801987687,0.188968201157,715.962542415,1.0,2
240,10329.0,1.64615384615,0.903635003686,0.165013179966,824.146309018,1.0,2
241,10524.0,1.625,0.929353577099,0.175681089744,801.317881227,1.0,2
242,10474.5,1.66326530612,0.888497744605,0.16393044948,834.388949275,1.0,2
243,7857.5,1.33540372671,0.92894720188,0.226996966633,588.080292702,0.99,2
244,11204.0,1.63,0.931958069107,0.171840490798,838.288444042,1.0,2
245,7283.0,1.29936305732,0.916561780562,0.227394779568,564.523945332,0.99,2
246,8932.0,1.43181818182,0.929400125598,0.201388888889,670.406194091,1.0,2
247,10402.5,1.65760869565,0.948354444814,0.185361724875,781.276253104,1.0,2
